symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-06 20:49:00,104578.48,104578.49,104489.12,104489.12,7.02317
BTCUSDT,1m,2025-06-06 20:50:00,104489.13,104489.13,104436.0,104438.01,7.8622
BTCUSDT,1m,2025-06-06 20:51:00,104438.01,104485.66,104438.0,104485.66,2.27025
BTCUSDT,1m,2025-06-06 20:52:00,104485.65,104506.63,104483.9,104494.36,13.11365
BTCUSDT,1m,2025-06-06 20:53:00,104494.36,104494.36,104492.43,104492.44,2.0059
BTCUSDT,1m,2025-06-06 20:54:00,104492.44,104576.66,104492.43,104563.1,4.41898
BTCUSDT,1m,2025-06-06 20:55:00,104563.1,104563.11,104510.23,104510.24,4.83011
BTCUSDT,1m,2025-06-06 20:56:00,104510.23,104510.23,104488.37,104491.71,2.65976
BTCUSDT,1m,2025-06-06 20:57:00,104491.72,104507.26,104465.11,104465.12,4.27386
BTCUSDT,1m,2025-06-06 20:58:00,104465.11,104491.7,104465.11,104491.69,10.59996
BTCUSDT,1m,2025-06-06 20:59:00,104491.69,104491.7,104478.06,104478.07,1.90417
BTCUSDT,1m,2025-06-06 21:00:00,104478.07,104488.38,104463.84,104463.85,6.59595
BTCUSDT,1m,2025-06-06 21:01:00,104463.85,104463.85,104441.86,104441.86,2.77583
BTCUSDT,1m,2025-06-06 21:02:00,104441.86,104441.87,104404.85,104415.35,27.18407
BTCUSDT,1m,2025-06-06 21:03:00,104415.36,104432.89,104406.68,104410.6,24.95541
BTCUSDT,1m,2025-06-06 21:04:00,104410.61,104410.61,104350.0,104350.01,4.81794
BTCUSDT,1m,2025-06-06 21:05:00,104350.0,104350.01,104340.84,104340.84,1.83927
BTCUSDT,1m,2025-06-06 21:06:00,104340.85,104390.44,104311.74,104362.05,27.5863
BTCUSDT,1m,2025-06-06 21:07:00,104362.06,104374.75,104362.05,104374.74,10.7818
BTCUSDT,1m,2025-06-06 21:08:00,104374.74,104374.75,104326.08,104331.31,8.39287
BTCUSDT,1m,2025-06-06 21:09:00,104331.31,104364.64,104331.3,104364.64,11.50403
BTCUSDT,1m,2025-06-06 21:10:00,104364.64,104378.76,104364.63,104378.75,5.66164
BTCUSDT,1m,2025-06-06 21:11:00,104378.76,104378.76,104348.2,104348.21,2.47261
BTCUSDT,1m,2025-06-06 21:12:00,104348.21,104348.21,104326.33,104326.34,2.03151
BTCUSDT,1m,2025-06-06 21:13:00,104326.33,104335.24,104326.33,104335.24,9.64393
BTCUSDT,1m,2025-06-06 21:14:00,104335.23,104335.23,104300.67,104300.67,8.7518
BTCUSDT,1m,2025-06-06 21:15:00,104300.67,104389.04,104300.0,104370.0,15.68824
BTCUSDT,1m,2025-06-06 21:16:00,104369.91,104369.91,104342.73,104357.59,2.90043
BTCUSDT,1m,2025-06-06 21:17:00,104357.6,104374.53,104357.59,104361.6,4.15171
BTCUSDT,1m,2025-06-06 21:18:00,104361.61,104372.1,104361.6,104362.25,5.23232
BTCUSDT,1m,2025-06-06 21:19:00,104362.25,104362.25,104356.31,104360.53,7.92644
BTCUSDT,1m,2025-06-06 21:20:00,104360.52,104383.37,104360.52,104383.37,2.26799
BTCUSDT,1m,2025-06-06 21:21:00,104383.36,104418.61,104383.36,104418.6,2.27699
BTCUSDT,1m,2025-06-06 21:22:00,104418.61,104418.61,104410.19,104410.2,4.36456
BTCUSDT,1m,2025-06-06 21:23:00,104410.19,104410.2,104385.67,104385.67,3.09022
BTCUSDT,1m,2025-06-06 21:24:00,104385.67,104385.68,104345.89,104356.39,20.94853
BTCUSDT,1m,2025-06-06 21:25:00,104356.39,104356.39,104321.32,104321.33,3.80192
BTCUSDT,1m,2025-06-06 21:26:00,104321.32,104321.33,104310.43,104310.43,2.85716
BTCUSDT,1m,2025-06-06 21:27:00,104310.44,104310.44,104308.37,104308.38,1.80781
